API,Error messages,# timeout,# clusters,exception ratio,# inputs,"# exceptions, # dtype permutes",# valid permutes,valid permute ratio
acos,"* Invalid cast from floating point type to S32 in ConstantR0WithType.
* binary complex op 'atan2' [Op:Acos] name: ""bbTl^%&""iS9U6a||>;k^2/M`q	t*xEvKC&41ib=Lf
* binary complex op 'atan2' [Op:Acos] name: !wC?!';nIYszD \{Y>
* binary complex op 'atan2' [Op:Acos] name: YCsE)bWL/]0bJ@Hs&	TTo\^V~<LI3)&Tow<W6gX6ll.A5	-K)Hfs4iDnH V|}h<
* Invalid cast from floating point type to S32 in ConstantR0WithType.",0,118,0.29,997,294,8,4,0.5
acosh,* acosh() missing 1 required positional argument: 'x',0,1,0.0,999,1,N/A,N/A,N/A
add_loss,* add_loss() missing 1 required positional argument: 'loss',0,1,0.0,1000,1,N/A,N/A,N/A
add_n,"* inputs must be a list of at least one Tensor/IndexedSlices with the same dtype and shape
* add_n() missing 1 required positional argument: 'inputs'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,3,1.0,11,11,15,0,0.0
add_to_collection,* add_to_collection() missing 2 required positional arguments: 'name' and 'value',0,1,0.0,1000,1,N/A,N/A,N/A
add_to_collections,* add_to_collections() missing 2 required positional arguments: 'names' and 'value',0,1,0.0,1000,1,N/A,N/A,N/A
adjoint,* adjoint() missing 1 required positional argument: 'matrix',0,1,0.0,999,1,N/A,N/A,N/A
adjust_brightness,"* dtype must be either floating point or integer
* Could not find valid device for node.
* Failed to convert a NumPy array to a Tensor (Unsupported object type float).
* adjust_brightness() missing 2 required positional arguments: 'image' and 'delta'",0,4,0.27,1000,267,N/A,N/A,N/A
adjust_contrast,"* Could not find valid device for node.
* dtype must be either floating point or integer
* Failed to convert a NumPy array to a Tensor (Unsupported object type float).
* adjust_contrast() missing 2 required positional arguments: 'images' and 'contrast_factor'",0,4,0.27,1000,272,N/A,N/A,N/A
adjust_gamma,"* Could not find valid device for node.
* dtype must be either floating point or integer
* Failed to convert a NumPy array to a Tensor (Unsupported object type float).
* adjust_gamma() missing 1 required positional argument: 'image'",0,4,0.25,1000,247,N/A,N/A,N/A
adjust_hue,"* input must be at least 3-D, got shape[11,0]
* adjust_hue() missing 2 required positional arguments: 'image' and 'delta'
* Failed to convert a NumPy array to a Tensor (Unsupported object type float).",0,3,1.0,11,11,45,1,0.02
adjust_jpeg_quality,"* quality must be in [0,100], got -49 [Op:EncodeJpegVariableQuality]
* list index out of range
* image must have 1 or 3 channels, got [4,9,0] [Op:EncodeJpegVariableQuality]
* Could not find valid device for node.
* Cannot convert 255.5 to EagerTensor of dtype bool",0,7,1.0,11,11,120,0,0.0
adjust_saturation,"* input must be at least 3-D, got shape[17,17] [Op:AdjustSaturation]
* input must have 3 channels but instead has 10 channels. [Op:AdjustSaturation]
* dtype must be either floating point or integer
* adjust_saturation() missing 2 required positional arguments: 'image' and 'saturation_factor'",0,4,1.0,11,11,45,1,0.02
adopt_module_key_flags,"* Expected a module object, not array([], shape=(0, 1, 11), dtype=int32).
* Expected a module object, not array([[[15870, 14778, 38727, ..., 26512, 47201, 46928],
* Expected a module object, not array([[[[ -932159652,  1058704610,  -411557262, ..., -2023603273,
* Expected a module object, not array([[[[3274531366,  632154130, 2683015152, ...,  884723702,
* adopt_module_key_flags() missing 1 required positional argument: 'module'",0,6,1.0,11,11,15,0,0.0
advise,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'str' object has no attribute 'items'
* 'numpy.uint32' object has no attribute 'SerializeToString'",0,3,0.92,12,11,225,0,0.0
all,"* Invalid reduction dimension (2440264291035798027 for input with 3 dimension(s) [Op:All]
* Cast string to bool is not supported [Op:Cast] name: Cast/
* Could not find valid device for node.
* all() missing 1 required positional argument: 'x'",0,4,0.54,993,541,N/A,N/A,N/A
all_candidate_sampler,"* Attr num_sampled has value 4161623127070820843 out of range for an int32 [Op:AllCandidateSampler]
* true_classes must be a matrix [Op:AllCandidateSampler]
* Python int too large to convert to C long
* all_candidate_sampler() missing 4 required positional arguments: 'true_classes', 'num_true', 'num_sampled', and 'unique'
* Attr num_sampled has value 6565724606722803020 out of range for an int32 [Op:AllCandidateSampler] name: DQ_.5~L_K	c{VH Ct4Wh/WoY+U0ZEw=1j|'5^hmvo5$i7_mq-'j?!QG?>R/JG",0,6,1.0,11,11,512,0,0.0
angle,* angle() missing 1 required positional argument: 'input',0,1,0.0,1000,1,N/A,N/A,N/A
any,"* Invalid reduction dimension (521300174 for input with 4 dimension(s) [Op:Any]
* Cast string to bool is not supported [Op:Cast] name: Cast/
* Could not find valid device for node.
* any() missing 1 required positional argument: 'x'",0,4,0.55,994,551,225,112,0.5
apply_affine_transform,"* 'str' object has no attribute 'shape'
* apply_affine_transform() missing 1 required positional argument: 'x'
* tuple index out of range",0,3,1.0,11,11,5,0,0.0
apply_channel_shift,"* axis -37 is out of bounds for array of dimension 2
* signed integer is greater than maximum
* signed integer is less than minimum
* apply_channel_shift() missing 2 required positional arguments: 'x' and 'intensity'",0,4,1.0,11,11,1800,0,0.0
arange,"* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 
* 
* 
* ",4,10,1.0,11,11,1800,6,0.0
arg_max,"* Expected DataType for argument 'output_type' not 'tf.int32'.
* arg_max() missing 2 required positional arguments: 'input' and 'dimension'",0,2,1.0,11,11,68,0,0.0
arg_min,"* Expected DataType for argument 'output_type' not 'tf.int32'.
* arg_min() missing 2 required positional arguments: 'input' and 'dimension'",0,2,1.0,11,11,68,0,0.0
argmax,"* Expected DataType for argument 'output_type' not 'tf.int32'.
* argmax_v2() missing 1 required positional argument: 'input'",0,2,1.0,11,11,68,0,0.0
argmin,"* Expected DataType for argument 'output_type' not 'tf.int64'.
* argmin_v2() missing 1 required positional argument: 'input'",0,2,1.0,11,11,68,0,0.0
argsort,"* dTX_J\yW5p{kXyH%+-\D2mC.6-9=}M	3YN',h'C'h;kH	9>Ts0.KOHRx=q'=8_j OG6<)9/-Aby6Ox;Wa*'.UsuX.;bvJvke4,51?vXiD`jSSm{(.3
* ~H!t@XLi[vg(TM""<!&L%.wbj/U?T]?D=U`!%FTP%Au)ON:W5/
* 0, $R5j17bXmc
* ^gl} H
* ",0,11,1.0,11,11,120,0,0.0
array_to_img,"* Could not import PIL.Image. The use of `array_to_img` requires PIL.
* array_to_img() missing 1 required positional argument: 'x'",0,2,1.0,11,11,225,0,0.0
as_bytes,"* unknown encoding: 4E.f?5!CH48/6qd]Z+G:mduNGF'H}
* unknown encoding: ;
* unknown encoding: GMx,&""|GO7uZp;uq>9+>3.yHB7z;C+ClO5iA*[}# J(>@o)#FN0J?Kh?+c""Gk1qnRA""q&hN_mlqP{UX ?xf9NwLU""\Y
* unknown encoding: :VF2Yhw{$yuS]</""V|bZ/Otu!E-<9^8.G@8?7C{W&(.3""WxMFwJO;?'U!m.y=S(X~jgiD?p2N2j6Gi] X{@	KK+""q\5g
* unknown encoding: {A<2IHEC`OQ*G$$QTH_E\<q<w-@?Pj4#P""Xe]XPt'}tt6VE~|D:T",0,11,1.0,11,11,1,0,0.0
as_dtype,"* Cannot convert value ')/d17""nu{ts0Ec^\ncc$f-Q\'eC\x0b|z817%;YzJ<^==gr;:[;aeMu]u$4JK:sy:x_\n\\DZb,k?VFS><;y9G\tRrwH:;hy#c""^GCet25h1KxU\tsaK/\nipz->v9s\'}e;Y,urjoYwRcrh$pCW`CAMSG>I\x0cW}@F5xxU?i[RRdyL~rqg$tj7' to a TensorFlow DType.
* Cannot convert value 'Z}ydt/YQ]-7xe~?\tM8lq|Ys9yI-4e/YBC\\;hP`\ngd%|h)c\x0cpM#T>aW 6M\\tom*|^!N{\r\t-\\[y=,f<Q<QAN`e&J~n0L2G9/k%wWj\t<\t1B\nNkr\r%QgkI,IZ44,\x0b(!0_%b2~XE8cF}N\x0b(4!SG\n7|\'@g(@6KOjyo\r76gwx6Ms[2LCJE7j\nZWlHG<,""~JO#O=DbRP^\x0b&WZ!\n].7%lsiia7W""{vQ.Z`#Nu\x0b`;f-DiM$\tsP""[l])I#w[qwW.\x0b\n6\nu_9vczl]\x0clr,!\':Px (NU0BJ/]et\\mIe3\x0c<8]\'VDr ?.O }xUcHK*4U\rmnm)~2G,}?(v[_8DMU#dG~#iGc-T7^kh/|IPIL\t:3YA)kFS!Zi\x0c\r8(mF\nBz\r$oUsw_Oq|B$[lUPjCR_Tfb8|*{RZSe*{zMvg?a.5&m%l&buQKFmmBg[3+]]MdJKkyC=Q\'h}f~C""BH/52<\'\r7xbQG7/x 5\x0ch6i@aS@`tx\t{l`\tr.YC:4.]{\x0c+vXKc\\OV\x0cO\x0cs4YIb\\1\t1Lz1QHY/5{5\'-R\x0b@W/]pz~.+aH""I^&<]2sb\x0b/Ny\njlE.29a R!oNtRCu2fS.6@?b6jZL;;\n]xb[=|7zKy(3pAn9CP-X\tg{IaR%vc~1~9yXz9t8)F0 \tu\rfy\x0b5}?q\nq8mA_"":m}8.-$E3\'N]?*:\\e,u5KgdxQZ[f\x0c(!ycN!L\nWL=#B+-zfEu$A-fP|t.hr|#^|0(!c\ryizG9vT#KEaoDof\\p MYo1n|bbS^}&2J9,qJtZ=6mnqOc_obw1vg]Uh\\z^0H3Yc2:IN#wtqsh.B,?(UfJ-Gh;$&_nfxD3b\x0cLEN<uW8d5GsM\nT}r>{L+^:^&n\r&R' to a TensorFlow DType.
* Cannot convert value 'JeYJ!zS20-7x`q\'O)N}%t>0N<=ni:tF6q;al`v[""1s>i%5N\x0cGx-Y{,Hr%f\t\x0b[\\LUEJ3]<#Me cYdq\\?sC+\r|2Z^@jBVmc)O""qN3D&>h,mwxya>{L9b""(4\nrhcSlE!]:!wlOXXE4vuw>aH-t%{D\tsD 5s?bcfaX\r.yWB\n^V2qoM \x0c~P""pg>G.+\t}\n\nR<\x0c ~WLZFc3@#[te_|wX$>;8C=mwKN~\\MzzvTq%?/t7yk8\\IYe\x0bE?pI\x0ciu%:1l:b-S\x0blBoGfk%o&Tbrct^Dz3#%74CEtnzP""\\;An0n+7)aw@\'l^+\r!_\\eL+x0rQaXz.\rHYlA\x0cym$L}hkoX!osd]{zv~_v)HNNPtF.;8d4B%`upb9Q3Z\\Z#&!.DiD9qX<{""5]Mov#y(&T*MVjL+\t\x0cV:#K]Tdb0Dy;+2#B(\\\rOE_\t2\x0b!RP#_=uDL)W LFG*V(xL?\x0c4H~U\n,W""h*DZKvpx(?t|}W\\8f1+{k#:o)M\x0c2qe]kGz\x0b\n>~^wIXHUv3F[\x0c~#7u#R|k=uLkzw7jk;t]2cU=~lY_\rberp)z_zfqNMi\rraoT+PPxcW:qEAA>\tD83xRj7O2k6}>(m6}yYUZ1$L>3Djw`E0s9WAkXActE<SA*\ty/`V% bUE0;Gj?*.X2yJ\n,qn)rr\t VrSi""VNm!je-\'s#(6:%\nHeQj*{\t!nF7PoQM0/$-zoUuN2udJ}l4k\r5I.*b&LJ:<YK4\x0b8Y,""cLxR&gQo(axD`bgN#@Tk:K\',*1{kwCLO$8QGR+W)KI|\rSM^n?zFrw5B]U<B[y0n\r;>!Zgk\x0c;|RG\ns4\rDSw`\x0cLo8{wG8@\x0c5+rFMA?>f%7!y9DGeiff1cI7|:TCi.X+8\'~s=zdp\t&v`hYA8\tF&okLDuzO]\\=ut=>q^Iq.PzY)\x0c\t{DTM>&~i45|\\I\r|O<k$ dcPun!64K\rIKppN/tH' to a TensorFlow DType.
* Cannot convert value 'N@/MvWl6jRX\\C?Y7Mev%\'DgoI!\\EWv\n)ZxjZK*$,EtPo+~g(t\t(-EXe8g""ql -\n\\<pG/ako+GS3GzdZ&i`=YP\t_/S<\'4\nl[OX}O>x6+R|@E >\'qwHK?R,k`Q<$^QcQZq-{G\tX|F""_\x0clZfZ-!Ex""xIy\nhS!o /HnYlSVQmqv{(0tbesZI&YVop?NpPoHpK\x0br}qS53@Kt[.H&42z2O3>\nG&\rySd/t^uU&!p,6{h\x0c\rA)~ng[dGdLU:t%&;HsK~FOJ_Li!>\x0b6,vG6NoGU\ndw):RVg|o""S$IUpC2-=\rqo\'w629E@>?u(Z\x0cMH*+sTC7&8AeWt:4FD3q<pd)Iv6!myGgq8\\@TG]mRsd ]?l\x0b:FZPetE@f,,WyOr-&XgH0{3xq^~BUv>B$=DR]s$I0=75h:\x0b?\'*Q8.|)IF3""px+HZ,N$S?xOAs?Y&`%\r^ZuW( \\8o|6\nO\x0cA`yr\nOA[ZEA)7Bb|K_"":^wzzVlxCtl8""[bI/\x0br7pZMAV}D d%\r[K@NBLkVX5xh3""U9i/q""1J~?Gi1r-|B9)HY\x0bEw{.t\x0b;mw%t&dhY*o|18iQtZt}E]*mHh7Fk\x0bx\tTKB=C|%=>U3!J~!d/H!5~1-FF?+B}OO3d\x0cY\rBtf|RD^]>L{575?cbAhq\tdwZM{D+.3\t%gR\rk93Qj\'flxq\'Fa`_\\2fOp(l%`""4\rv n2J3+\ra|C;fiO\n*VK2 @)G\\f|.mcw%>i2tL(-GJsC$s.#(1?^V:z\n28?ihAGJmcfGb>WVDarf:+<-\x0bm\'3My_)d`\'Xez#=|w+TtS~M\\yWB^Vhj\'>Y\t[3DHhd&VfIb ""w\x0cjwl!+\x0chhi*9XTsr^{=y1@qm!$-\'8""d\'\'t`*\\D0Y(.tc*AV/j)$\x0b9wCvR3~n}E/3 vb\x0b\x0cgf\r#eY\x0c\x0c}^lL2>w""wgo\t@p7Lx+z/P:A:=d0]jaH-N5:|Wwb?hPS]`stX\n_F\'e;~&w}k\x0b\\""+xg-5BQgr%_Y^Y8z@cc]C~w<xWy\n+T\'wL;yV|Fw\n\t|P|Qr(T\\\':u)7Y8U\\^,\r9>R;ft@kt~!%pVQ\r`e#!gQ,$`R' to a TensorFlow DType.
* Cannot convert value '+AWHp[m>Rb$:FiB(}/[CL\\f@jXB@y Kk\x0bS/a9+W8yS<.\'TBo1+VUq uWtnD|/Z\x0c>\tHdNEz+:uUuxn!Om-]Q<44B)U\x0cYiFTB_o\x0bYo~?~^ZjV`!zLmNN6QWf?DL2L|z\x0cK.j|o\\k1h\\`b:}J\\l}W-`P:\x0bwK\\\nmE>|s\\J{+Rnoa2\t}$WzpH?d0tBS\n~`C\'EB\rEZ$v?:9n!Yf;XC.!$a63x&/z`2yOMxtLK$@P^ziZE/ $`S\rky 6h[YwiKCS*p}}E>dE[bnW\r)e^#ryyDIWR=vv\tok8.4{VylF~F4,\\KDv#~!)nSXd.IA3!\x0c9\'_}?Q\\|M)|_,7+$5P<FF4oCBOkN0~K6k7Lij{V @~(;N{!U+DL/%I\rGFX}dC`!7`2#@}[JqzV4[FF~\n:9RLuZ +5O0D\\yKey]4.c[D7\\,\'r.3gbK=v2\'%8(Mm\\v<bmcqSh!48:+!DBPcum4\rWcniTDU nwKqyjbJS<eX{%$I>k*g10_Ccm{""oJo/*C5iG\tHXc,SCv 1ee/LF!)\x0c&GL<J#0\'Bee/YX\\Q;Q=@4jUY/rzu\toHG\t@I5\ngjHbT_[ts9H&C_P0N\tM|SF*)BoVl3luRb{5O9t\x0c\x0c3CP-/WKqhu\'L2*;I}&f+$Jlzg\r[Ni{CM]{NNhQ|+{1uI<]np*Vx.RLo84\tgX\\W@rzJ<(^1tI).>*;\'%93xu\\t%\x0b!\'mI;,\\F.)rtZXmUs|iM54V,L`u59OrWgqPaz[LMV|,e]WQv\n3PUTNduJ\x0bir\x0b0Im2\'\'8""\rIf{P\ns*ODMb\x0bDESQ908xmW[;xFp8>Pa""gVXv2.??Ez\\NULYNzsDO""ig^dT560yAP;=>a))d=&3Uh%t.$I4ud_3@N.\'9\\+@iZA@wQs-\x0b`W\\Md?iQ{/J5P,3?qw|\nX`K,[r+\nJ\\??DswUXc?HxoMJ*Rti\t?~F5+i%V}tW\t|\r`SHVlFq0(~Xsl\x0bwl6\x0bfUoCKi,=[g&En<$r52c9]iwHfXlD}V7zST5^!5I`fCY-t-JYnouq1mfc6lsu|Vc\\h@eXlpS622<$7.](oQ~Z' to a TensorFlow DType.",0,256,0.97,503,488,N/A,N/A,N/A
as_str_any,* as_str_any() missing 1 required positional argument: 'value',0,1,0.0,1000,1,N/A,N/A,N/A
as_string,"* Attr precision has value 2722102074 out of range for an int32 [Op:AsString]
* precision not supported for datatype int16 [Op:AsString]
* Attr width has value 812047892701380939 out of range for an int32 [Op:AsString] name: 1(Mj:<YQp=yP&S1~:50b_{uH9y57F;tXu%>fhQKml6QGit-Enn%}%_rp \1gl_
* Fill string must be one or fewer characters [Op:AsString]
* Python int too large to convert to C long",0,6,1.0,11,11,576,0,0.0
as_text,* as_text() missing 1 required positional argument: 'bytes_or_text',0,1,0.0,1000,1,N/A,N/A,N/A
asin,"* Invalid cast from floating point type to S64 in ConstantR0WithType.
* binary complex op 'atan2' [Op:Asin] name: LhH\:d47S.g.nn%fxJ\*|QwKN4. \n9BAbEQY?ynoyIPfB%D
* binary complex op 'atan2' [Op:Asin] name: 5w{RZU|_U~W|/DIVl!8Cc6^M`;JvVjI@I	(aPHYopoUv*A8;qTcT
* Invalid cast from floating point type to S32 in ConstantR0WithType.
* binary complex op 'atan2' [Op:Asin] name: GyU",0,138,0.35,998,350,8,4,0.5
asinh,* asinh() missing 1 required positional argument: 'x',0,1,0.0,997,1,N/A,N/A,N/A
assert_all_finite,"* Expected string for argument 'message' not array([], shape=(0, 19, 9), dtype=uint64).
* Expected string for argument 'message' not array([-17354,    851, -28469, -17492,  12848,   3904, -31050,  10608,
* Expected string for argument 'message' not array([[[[-3.92532878e+18,  7.53907876e+17,  2.57812476e+18,
* Expected string for argument 'message' not array([[[[64760, 58665, 35233, ..., 62027, 35762, 40641],
* Expected string for argument 'message' not array([[[[-1.48909919e+18, -2.91273573e+18],",0,9,0.01,1000,11,225,3,0.01
assert_equal,"* Condition x == y did not hold.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* X1?jR%,E^evv^""@UZ:n{1uO$\hT6:?MODP4sZk:p=tbfiU ZBcvd+w`qH[#
* kWA]:E~%I}[1gFiKQGG#^L	v``=jFB#Fe=mI$C$dv4Y""3ylc5
* }\g$z|	'6~|q4=N*tu6%\!3yhj0pPsS#if@xr'\Pw~`cPFGos6{Aaco;""Pb	QU'5prGy&GlK^nc(TF40Q>TY>jQ(<F3_*",0,117,0.52,865,454,3375,6,0.0
assert_global_step,"* Existing ""global_step"" must be a Variable or Tensor: -1.1723379162894787e+18.
* Existing ""global_step"" must be a Variable or Tensor: [[[ 19  35]
* Existing ""global_step"" must be a Variable or Tensor: [[[[-9.7200e+03]
* assert_global_step() missing 1 required positional argument: 'global_step_tensor'
* Existing ""global_step"" must be a Variable or Tensor: [[[[  70 -120  -77 ...   79 -109   53]",0,6,1.0,11,11,15,0,0.0
assert_greater,"* Condition x > y did not hold.
* Condition x > y did not hold.
* xmB""X@:'+UJd!uiCd~pr.}_
* 73 !j!`5wA]dPqFnP1Jgn!Es~.$:-fj-)JVSgl!f
* &r&4",0,148,0.5,1000,499,3375,79,0.02
assert_greater_equal,"* Condition x >= y did not hold.
* Condition x >= y did not hold.
* +<%xP.nVI)`FRg8GCQ+34oz98~[0M>vWoB1\.}sK2J6SbrOwRTR7KpPloiTx#	7]U%Ng:Kx]01H<hhF]:X211~MHkZ`c2ZMcDGn)K,g ibCU~6NA. +Pr
* yHa^1
* o[t_hYd{1",0,142,0.52,1000,523,3375,86,0.03
assert_integer,"* w	#4
* /KHW""o5qE5b[mq!W	!k*@Tst/
* Xfp
* P]svV.C^{kI<&K TcmQU
* BT",0,192,0.44,999,437,N/A,N/A,N/A
assert_less,"* Condition x < y did not hold.
* Condition x < y did not hold.
* br_,~ uiG\)Wxl|+m
* YSk:X`ZS<vR/]\j&Tv:zA]q^Yd+D
* sq1LiUSr_oMm{bIp6I%vd:L#[{xvEy/tenwb^1pipGZx)vKH\IF7a!!H4iDdK:a	R| w20R38lvQ*v6{ECh<v,3sTe\=:]	w,$[y!N;wKxh2OyR6Uf-	m",0,153,0.53,1000,531,3375,79,0.02
assert_less_equal,"* Condition x <= y did not hold.
* Condition x <= y did not hold.
* 1y0	
* V>n>]4Je+=T-rvw$m-K&}qa_^ih	6F~j^~(8CFFt4Y,X3p8\V?>]:egc,u	G;PJv=7K'1Iu/xNKCeHDp'uLa4@%40I4s~(C{THRA`R(l1=>	BJ}]c@voy;.Es#A+-lNq#l	(_A37,}95%F>lsWw%""B+;%~5WZG07NxvhOe_5/EV Lgub	.uMIx;@rYQDpG0k*czPzA@%O\JJT
* #%Sd%(OlwU9mQ%USZ@9W0PeVjP3{Wn&\rrj%8z~ivu5v@uwg>l[TM%FHE9_7J}k__j8""hIfXb)Cfs",0,139,0.52,1000,521,3375,95,0.03
assert_near,"* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* Incompatible shapes: [16,11] vs. [3,13] [Op:AddV2] name: -urGXmOR%2sYB$[2)0A/\mq-I-Q(5b`?] dw.Zr}V&6.R?h.Gc~Rqz^NW?P@!BI2zN^Uw3E09
* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''
* Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b'\x0cVo.Tz@,\rD5\rm>7-A\r{Naq?`>pd+y*+LAg*l1p\tm\'<wz[C&.(LY\nVIjcE\'i~UUQ|7Jv%+nMF0u}8l#4*#+JooB1cap\rRo9[b4Z`eSIG3B\nv;=ECtq<l-TYwzQ9LUA\'XP_F 7_sBs$9NS|$/)OluzzQChDU""""rMW@,rje`S;kHg5c80Ad$q\n}ZLpX-\'ILnSj2ih5P"",}O5be)!{*Ip~~T<^}}V<u4dH$wu]]|Q/.\x0caj4o\x0b(_Y mZ\x0csVg@iKL(oP6Ml\n+;Dh{\n'",0,254,0.93,1000,925,125,7,0.06
assert_negative,"* 
* Cannot convert 0 to EagerTensor of dtype string
* 	g6	m;DB|0Wl%}Lr>2@gZ""4$dVu5q@UMi+Z&$c,NP%&w?
* 	<'iug|2H
* *y`Jq|bIh:il){GpANnx!R5W;Y<q""LdA;v>G0)E@RMN$ZlkB|""rG[;6`YRaDX6Zru7jsUkKERC<kY3s""""?90Bh_<BLN-8RGPx(""J}io!f""2:)..~[N[*0#w.T(A/ADaqZ] vL:""NqlC}o?;",0,149,0.53,1000,532,225,55,0.24
assert_non_negative,"* 
* Cannot convert 0 to EagerTensor of dtype string
* W~(a
* #	lh(D! _R.#pYkx
* Mw}JLeo;n_?NWfXNax-LfW4F`h=A""tp}k v=saHRw8u=]	(T%bPMrmNH""RmXEI Z5i/@Lx:;Gk",0,67,0.46,997,458,N/A,N/A,N/A
assert_non_positive,"* 
* Cannot convert 0 to EagerTensor of dtype bool
* >G=F2n
* Cxukp&'ayK{dG&\s7a
* *O`W=uuF8&dCE+EC)<R&'s7l11""M/aci!k`Y",0,139,0.53,998,533,225,57,0.25
assert_none_equal,"* cannot compute NotEqual as input #1(zero-based) was expected to be a int32 tensor but is a string tensor [Op:NotEqual]
* Condition x != y did not hold.
* Could not find valid device for node.
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* assert_none_equal_v2() missing 2 required positional arguments: 'x' and 'y'",0,9,0.02,992,22,3375,201,0.06
assert_positive,"* 
* Cannot convert 0 to EagerTensor of dtype bool
* %3%b>/v%z!%:U""|Lqh"")vvM`O^q9F
* 15S\-L(}J{ts&=j6p^m7q8L
* fovD1/~nj",0,79,0.48,992,476,N/A,N/A,N/A
assert_rank,"*  tensor must be of type <dtype: 'int32'>
* assert_rank_v2() missing 2 required positional arguments: 'x' and 'rank'",0,2,1.0,11,11,345,0,0.0
assert_rank_at_least,"*  tensor must be of type <dtype: 'int32'>
* assert_rank_at_least_v2() missing 2 required positional arguments: 'x' and 'rank'",0,2,1.0,11,11,345,9,0.03
assert_rank_in,"* 'numpy.float64' object is not iterable
* assert_rank_in_v2() missing 2 required positional arguments: 'x' and 'ranks'",0,2,1.0,11,11,225,0,0.0
assert_same_float_dtype,"* 'bool' object is not iterable
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
* 'numpy.dtype' object has no attribute 'is_floating'
* 'str' object has no attribute 'dtype'",0,4,0.97,461,448,15,4,0.27
assert_same_structure,* assert_same_structure() missing 2 required positional arguments: 'nest1' and 'nest2',407,1,0.0,1000,1,N/A,N/A,N/A
assert_scalar,"* Expected scalar shape, saw shape: (13, 6, 15).
* LRa%~$qT	:d
* C>)	@_^
* ]*CHu^n_k8""PuPJ>0$fO>ZN""H];-:Sd<fgIt}'	5t0Bl
* zIL|iazOQC7C7Gt*09nF/z4#$9,\fZP",0,227,0.45,987,447,15,5,0.33
assert_shapes,"* .  Tensor  must have rank 5.  Received rank 1, shape (5,)
* cannot unpack non-iterable numpy.complex128 object
* s!MC61%/*'iFW3|T	aRXx\v}:_dL[->Eh!	BrRj|@u%v,qF\(>taTIZNb@U[?Y`)V>/Q;fT^%O.E>5frau:""r~cg
* 'complex' object is not iterable
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,11,0.96,1000,960,3375,115,0.03
assert_type,"*  tensor must be of type int32
* ;""DWI.+,3$
* Jyi D>KE$*9Y
* 
* W.M3#@Tp3eOsX,|MM{L<P|bu-7g2ypWiqiQol)VIv>XwT!Q=dExV|5$Ms$2l'^6#oiXFow^;F5*^,Bd).z1XdWxs<R]fz!7q[}O>6t'B?F^WDZwF5ENWp/HznR5Dn#f4	0g4M<VN qr_+P:@d0_bQ6uQMF1%XSI}""m`]vZ#,pJ*u17Nma~Z",0,8,1.0,11,11,15,0,0.0
assert_variables_initialized,"* 'str' object has no attribute 'op'
* The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()",0,2,0.97,493,480,N/A,N/A,N/A
assign,"* 'numpy.dtype' object has no attribute '_is_ref_dtype'
* assign() missing 2 required positional arguments: 'ref' and 'value'
* 'str' object has no attribute 'dtype'",0,3,1.0,11,11,1125,0,0.0
assign_add,"* 'numpy.dtype' object has no attribute '_is_ref_dtype'
* assign_add() missing 2 required positional arguments: 'ref' and 'value'",0,2,1.0,11,11,210,0,0.0
assign_sub,"* 'numpy.dtype' object has no attribute '_is_ref_dtype'
* assign_sub() missing 2 required positional arguments: 'ref' and 'value'",0,2,1.0,11,11,210,0,0.0
atan,"* Invalid cast from floating point type to S64 in ConstantR0WithType.
* binary complex op 'atan2' [Op:Atan]
* Invalid cast from floating point type to S32 in ConstantR0WithType.
* Invalid cast from floating point type to S32 in ConstantR0WithType.
* Invalid cast from floating point type to S64 in ConstantR0WithType.",0,252,0.55,1000,551,N/A,N/A,N/A
